ID,Sponsor Award Number,Sponsor,Prime Sponsor,PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,Short Title,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Authorized Total,Awarded Total
AWD00015655,83090002,EPA: Region 9,,Wang,Joseph,B1314,Chemical Engineering,Nanomaterial-Based Microchip Assays for Continuous Environmental Monitoring,"$285,441","$285,441",11/1/2004,11/30/2007,11/30/2007,"$285,441","$285,441"
AWD00034925,21P622-02,Texas Tech University (TTU),National Science Foundation (NSF),Jiao,Yang,B1343004,IAFSE-SEMTE: Materials Science and Engineering,Isolation and Identification of Heterogeneous Circulating Tumor Cells Using a Microchip with Hyperuniform Patterns,"$50,000","$50,000",2/15/2020,1/31/2023,1/31/2023,"$50,000","$50,000"
AWD00002990,DMR8310649-04,National Science Foundation (NSF),,Carpenter,Ray,B1719,KE-CF: Eyring Materials Center; CLAS,ELECTRICALLY ACTIVE DEFECTS IN PROCESSED SILICON WAFERS,$0,$0,8/1/1983,5/31/1988,5/31/1988,$0,$0
AWD00003465,CK 990303,Shell Oil Company Foundation,,Sirkis,Murray,B1310,IAFSE-ECEE: Electrical Engineering,MICROWAVE HEATING OF LOW-RESISTIVITY SEMICONDUCTOR WAFERS,"$50,000","$50,000",11/27/1984,12/31/1989,12/31/1989,"$50,000","$50,000"
AWD00005455,89SJ173,SRCCO Inc.,,Raupp,Gregory,B1314,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER L PC V D REACTORS,"$20,500","$20,500",12/1/1989,12/31/1990,12/31/1990,"$20,500","$20,500"
AWD00005504,91SJ174-02,SRCCO Inc.,,Raupp,Gregory,B1314,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,"$200,503","$200,503",1/1/1990,12/31/1991,12/31/1991,"$200,503","$200,503"
AWD00006419,92SJ174,SRCCO Inc.,,Raupp,Gregory,B1314,Chemical Engineering,PROCESS DEVEL. TOOLS FOR SING. WAFER LPCVD REACTORS,"$140,000","$140,000",1/1/1992,12/31/1992,12/31/1992,"$140,000","$140,000"
AWD00006938,93SJ174,SRCCO Inc.,,Raupp,Gregory,B1314,Chemical Engineering,SINGLE WAFER-LPCV REACTOR(CON'T OF ACT4445),"$140,000","$140,000",1/1/1993,12/31/1993,12/31/1993,"$140,000","$140,000"
AWD00007451,94SJ174,SRCCO Inc.,,Cale,Timothy,B1314,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,"$140,000","$140,000",1/1/1994,12/31/1994,12/31/1994,"$140,000","$140,000"
AWD00007537,F496209410167-P00002,DOD: Air Force (USAF),,Cale,Timothy,B1314,Chemical Engineering,SINGLE WAFER PLASMA REACTOR SIMULATOR (AASERT),"$88,526","$88,526",3/15/1994,5/15/1997,5/15/1997,"$88,526","$88,526"
AWD00007888,94MJ153,SRCCO Inc.,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,LIGHT SCATTERING BY PARTICLES ON PATTERNED WAFERS,"$100,000","$100,000",9/1/1994,8/31/1995,8/31/1995,"$100,000","$100,000"
AWD00008032,95IJ174-01,SRCCO Inc.,,Cale,Timothy,B1314,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,"$175,000","$175,000",1/1/1995,3/31/1996,3/31/1996,"$175,000","$175,000"
AWD00008118,PO PN397970,"Motorola, Inc.",,Rollier,Dwayne,B1312,"Industrial, Systems and Operations Engineering; IAFSE",YIELD IMPROVEMENT IN THE ZENER/RECTIFIER WAFER FAB,"$2,227","$2,227",3/1/1995,4/22/1995,4/22/1995,"$2,227","$2,227"
AWD00008485,95BJ153,SRCCO Inc.,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,LIGHT SCATTERING BY PARTICLES ON PATTERNED WAFERS,"$100,000","$100,000",9/1/1995,8/31/1996,8/31/1996,"$100,000","$100,000"
AWD00009134,96BJ441,SRCCO Inc.,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,DETECTION OF SURFACE NANOPARTICLES:  WAFER INSPECTION BEYOND 0.1 UM GENERATION,"$125,000","$125,000",9/1/1996,10/31/1997,10/31/1997,"$125,000","$125,000"
AWD00009641,LETTER OF UNDERSTANDING,University of Arizona,National Science Foundation (NSF),Beaudoin,Stephen,B1314,Chemical Engineering,SPIN COATING OF PHOTORESIST ONTO  WAFERS PROGRAM,"$21,556","$21,556",8/1/1997,5/25/1998,5/25/1998,"$21,556","$21,556"
