ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00002990,DMR8310649-04,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[96ABEA65EF13064C8C1BAB286E9C4D46]]'>GR26348</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Carpenter,Ray,B1719,KE-CF: Eyring Materials Center; CLAS,KE-CF: Eyring Materials Center; CLAS,ELECTRICALLY ACTIVE DEFECTS IN PROCESSED SILICON WAFERS,Taylor,$0,$0,8/1/1983,5/31/1988,5/31/1988,Team 3,Closed,$0,$0,$0
AWD00003465,CK 990303,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[686781291A552F43919D4559E1C73889]]'>GR09150</a> ,Shell Oil Company Foundation,Shell Oil Company Foundation,,,Sirkis,Murray,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,MICROWAVE HEATING OF LOW-RESISTIVITY SEMICONDUCTOR WAFERS,Stewart,"$50,000","$50,000",11/27/1984,12/31/1989,12/31/1989,Team 1,Closed,"$50,000","$50,000","$50,000"
AWD00005455,89SJ173,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E86550F9D1C76247A7458F54CB27A541]]'>GR00584</a> ,SRCCO Inc.,SRCCO Inc.,,,Raupp,Gregory,B1314,Chemical Engineering,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER L PC V D REACTORS,Coley-Bing,"$20,500","$20,500",12/1/1989,12/31/1990,12/31/1990,,Closed,"$20,500","$20,500","$20,500"
AWD00005504,91SJ174-02,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[77323B1E6CAE634EAB10715F8D3BA522]]'>GR00588</a> ,SRCCO Inc.,SRCCO Inc.,,,Raupp,Gregory,B1314,Chemical Engineering,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,Coley-Bing,"$200,503","$200,503",1/1/1990,12/31/1991,12/31/1991,,Closed,"$200,503","$200,503","$200,503"
AWD00006419,92SJ174,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[731A62429737124C9D00B5BB10650A21]]'>GR00585</a> ,SRCCO Inc.,SRCCO Inc.,,,Raupp,Gregory,B1314,Chemical Engineering,Chemical Engineering,PROCESS DEVEL. TOOLS FOR SING. WAFER LPCVD REACTORS,Coley-Bing,"$140,000","$140,000",1/1/1992,12/31/1992,12/31/1992,,Closed,"$140,000","$140,000","$140,000"
AWD00006938,93SJ174,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[A89ED282F524D54F91B06CD44BE1A99E]]'>GR00595</a> ,SRCCO Inc.,SRCCO Inc.,,,Raupp,Gregory,B1314,Chemical Engineering,Chemical Engineering,SINGLE WAFER-LPCV REACTOR(CON'T OF ACT4445),Coley-Bing,"$140,000","$140,000",1/1/1993,12/31/1993,12/31/1993,,Closed,"$140,000","$140,000","$140,000"
AWD00007451,94SJ174,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[3FDA7537D83CC5469307C2A372A24536]]'>GR00696</a> ,SRCCO Inc.,SRCCO Inc.,,,Cale,Timothy,B1314,Chemical Engineering,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,Coley-Bing,"$140,000","$140,000",1/1/1994,12/31/1994,12/31/1994,,Closed,"$140,000","$140,000","$140,000"
AWD00007537,F496209410167-P00002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[95461A5B5D80F6459D6E0ADA901770FE]]'>GR00018</a> ,DOD: Air Force (USAF),DOD: Air Force (USAF),,,Cale,Timothy,B1314,Chemical Engineering,Chemical Engineering,SINGLE WAFER PLASMA REACTOR SIMULATOR (AASERT),Coley-Bing,"$88,526","$88,526",3/15/1994,5/15/1997,5/15/1997,,Closed,"$88,526","$88,526","$88,526"
AWD00007888,94MJ153,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F7516C72236F954C845879B0ACFD1EB3]]'>GR27870</a> ,SRCCO Inc.,SRCCO Inc.,,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,LIGHT SCATTERING BY PARTICLES ON PATTERNED WAFERS,Coley-Bing,"$100,000","$100,000",9/1/1994,8/31/1995,8/31/1995,Team 1,Closed,"$100,000","$100,000","$100,000"
AWD00008032,95IJ174-01,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[D41F5F9DBFE72D478B3962C330787C26]]'>GR00701</a> ,SRCCO Inc.,SRCCO Inc.,,,Cale,Timothy,B1314,Chemical Engineering,Chemical Engineering,PROCESS DEVELOPMENT TOOLS FOR SINGLE WAFER LPCVD REACTORS,Coley-Bing,"$175,000","$175,000",1/1/1995,3/31/1996,3/31/1996,,Closed,"$175,000","$175,000","$175,000"
