Original Affiliation,Canonical Affiliation,Cluster ID
"Department of Physics, The Ohio State University, Columbus, 43210, OH, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Department of Physics, Ohio State University, Columbus, OH 43210-1106, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Department of Physics, Ohio State University, Columbus, OH 43210-1117, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Department of Physics, The Ohio State University, Columbus, OH 43210, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Department of Physics, Ohio State University, Columbus, OH, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Department of Physics, Ohio State University, Columbus, 43210-1117, OH, United States","Department of Physics, Ohio State University, Columbus, OH, United States",0
"Electrical Engineering, Stanford University, Stanford, 94305, CA, United States","Electrical Engineering, Stanford University, Stanford, 94305, CA, United States",1
"Dept. of Electrical Engineering, Stanford University, Stanford, 94305, CA, United States","Electrical Engineering, Stanford University, Stanford, 94305, CA, United States",1
"Intel Corp, Santa Clara, CA, United States","Intel, Santa Clara, CA, United States",2
"Intel Corporation, Santa Clara, CA, United States","Intel, Santa Clara, CA, United States",2
"Intel Corp., Santa Clara, CA, United States","Intel, Santa Clara, CA, United States",2
"Intel, Santa Clara, CA, United States","Intel, Santa Clara, CA, United States",2
"Intel Corp, Santa Clara, United States","Intel, Santa Clara, CA, United States",2
"KLA-Tencor Corporation, San Jose, CA 95134, 160 Rio Robles, United States","KLA-Tencor, San Jose, CA 95134, 160 Rio Robles, United States",3
"KLA-Tencor, San Jose, CA 95134, 160 Rio Robles, United States","KLA-Tencor, San Jose, CA 95134, 160 Rio Robles, United States",3
"KLA-Tencor Corp., San Jose, CA 95134, 160 Rio Robles, United States","KLA-Tencor, San Jose, CA 95134, 160 Rio Robles, United States",3
"Lawrence Berkeley National Laboratory, Berkeley, 94720, CA, United States","Lawrence Berkeley National Laboratory, Berkeley, United States",4
"Lawrence Berkeley National Laboratory, Berkeley, United States","Lawrence Berkeley National Laboratory, Berkeley, United States",4
"NEC Research Institute, Princeton, NJ 08540, 4 Independence Way, United States","NEC Research Institute, Princeton, NJ 08540, 4 Independence Way, United States",5
"NEC Research Institute, Inc., Princeton, NJ 08540, 4 Independence Way, United States","NEC Research Institute, Princeton, NJ 08540, 4 Independence Way, United States",5
"North Carolina State University, Raleigh, NC, United States","North Carolina State Univ, Raleigh, United States",6
"North Carolina State Univ, Raleigh, United States","North Carolina State Univ, Raleigh, United States",6
"North Carolina State University, Raleigh, NC 27695, United States","North Carolina State Univ, Raleigh, United States",6
"North Carolina State University, Raleigh, 27695, NC, United States","North Carolina State Univ, Raleigh, United States",6
"North Carolina State University, Raleigh, NC, 27695, United States","North Carolina State Univ, Raleigh, United States",6
"North Carolina State University, Raleigh, 27606, NC, United States","North Carolina State Univ, Raleigh, United States",6
"Oak Ridge National Laboratory, Oak Ridge, 37831, TN, United States","Oak Ridge National Laboratory, Oak Ridge, TN 37830, United States",7
"Oak Ridge National Laboratory, Oak Ridge, TN 37830, United States","Oak Ridge National Laboratory, Oak Ridge, TN 37830, United States",7
"Oak Ridge National Laboratory, Oak Ridge, 37830, TN, United States","Oak Ridge National Laboratory, Oak Ridge, TN 37830, United States",7
"Rockwell International Science Center, Thousand Oaks, 91360, CA, United States","Rockwell Science Center, Thousand Oaks, 91360, CA, United States",8
"Rockwell International Science Center, Thousand Oaks, CA, 91360, United States","Rockwell Science Center, Thousand Oaks, 91360, CA, United States",8
"Rockwell Science Center, Thousand Oaks, 91360, CA, United States","Rockwell Science Center, Thousand Oaks, 91360, CA, United States",8
"School of Materials Science and Engineering, University of Science and Technology Beijing, Beijing, 100083, China","School of Materials Science and Engineering, University of Science and Technology Beijing, Beijing, 100083, China",9
"SEMATECH, Albany, NY 12203, 257 Fuller Road, United States","SEMATECH, Albany, NY 12203, 257 Fuller Road, United States",10
"SEMATECH, Austin, TX 78741, 2706 Montopolis Dr., United States","SEMATECH, Austin, TX 78741, 2706 Montopolis Dr., United States",11
"SEMATECH, Austin, TX 78741-6499, 2706 Montopolis Drive, United States","SEMATECH, Austin, TX 78741, 2706 Montopolis Dr., United States",11
"Central Research Laboratories, Texas Instruments Incorporated, Dallas, TX 75265, United States","Central Research Laboratories, Texas Instruments Inc., Dallas, 75265, TX, United States",12
"Central Research Laboratories, Texas Instruments Inc., Dallas, 75265, TX, United States","Central Research Laboratories, Texas Instruments Inc., Dallas, 75265, TX, United States",12
"Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY 14853, United States","Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY, United States",13
"Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY, United States","Department of Chemistry and Chemical Biology, Cornell University, Ithaca, NY, United States",13
"Department of Chemistry, The Pennsylvania State University, University Park, 16802, PA, United States","Department of Physics, The Pennsylvania State University, University Park, PA, United States",14
"Department of Physics, The Pennsylvania State University, University Park, PA, United States","Department of Physics, The Pennsylvania State University, University Park, PA, United States",14
"Department of Chemical Engineering, The Pennsylvania State University, University Park, 16802, PA, United States","Department of Physics, The Pennsylvania State University, University Park, PA, United States",14
"Department of Chemistry, University of Colorado Boulder, Boulder, 80309, CO, United States","Department of Chemistry, University of Colorado, Boulder, 80309, CO, United States",15
"Department of Chemistry, University of Colorado, Boulder, 80309, CO, United States","Department of Chemistry, University of Colorado, Boulder, 80309, CO, United States",15
"Department of Chemistry and Biochemistry, University of Colorado Boulder, Boulder, 80309, CO, United States","Department of Chemistry, University of Colorado, Boulder, 80309, CO, United States",15
"Department of Physics, University of Colorado Boulder, Boulder, 80309, CO, United States","Department of Chemistry, University of Colorado, Boulder, 80309, CO, United States",15
"Department of Chemistry, University of Pennsylvania, Philadelphia, PA 19104, United States","Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States",16
"Department of Physics and Astronomy, University of Pennsylvania, Philadelphia, PA 19104, United States","Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States",16
"Department of Chemistry, University of Pennsylvania, Philadelphia, 19104-6323, PA, United States","Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States",16
"Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States","Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States",16
"Department of Chemistry, University of Pennsylvania, Philadelphia, PA 19104-6323, United States","Department of Physics, University of Pennsylvania, Philadelphia, PA 19104, United States",16
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, Santa Barbara, CA 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
