Affiliation,Count,Percentage
"National Renewable Energy Laboratory, Golden, 80401, CO, United States",1936,0.2%
"Naval Research Laboratory, Washington, DC 20375, United States",1701,0.2%
"AT and T Bell Laboratories, Murray Hill, NJ 07974, United States",1550,0.2%
"Sandia National Laboratories, Albuquerque, NM 87185, United States",1453,0.1%
"Bell Laboratories, Murray Hill, NJ 07974, United States",1311,0.1%
"Sandia National Laboratories, Albuquerque, 87185, NM, United States",1270,0.1%
"Materials Department, University of California, Santa Barbara, 93106, CA, United States",1249,0.1%
"Department of Materials Science and Engineering, Northwestern University, Evanston, 60208, IL, United States",1149,0.1%
"National Renewable Energy Laboratory, Golden, CO 80401, United States",1135,0.1%
"Materials Department, University of California, Santa Barbara, CA 93106, United States",1036,0.1%
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA 93106, United States",1007,0.1%
"IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, United States",914,<0.1%
"Department of Electrical Engineering, Princeton University, Princeton, NJ 08544, United States",876,<0.1%
"Bell Laboratories, Lucent Technologies, Murray Hill, NJ 07974, United States",838,<0.1%
"AT&T Bell Laboratories, Murray Hill, NJ 07974, United States",805,<0.1%
"Department of Physics, University of Notre Dame, Notre Dame, IN 46556, United States",784,<0.1%
"Department of Chemistry, Northwestern University, Evanston, 60208, IL, United States",773,<0.1%
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, 93106, CA, United States",720,<0.1%
"Department of Electrical Engineering, Stanford University, Stanford, CA 94305, United States",717,<0.1%
"Optical Sciences Center, University of Arizona, Tucson, AZ 85721, United States",689,<0.1%
"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, 48109, MI, United States",678,<0.1%
"IBM T. J. Watson Research Center, Yorktown Heights, NY 10598, United States",661,<0.1%
"Department of Electrical Engineering, Stanford University, Stanford, 94305, CA, United States",653,<0.1%
"Department of Electrical Engineering, University of South Carolina, Columbia, SC 29208, United States",616,<0.1%
"U.S. Naval Research Laboratory, Washington, 20375, DC, United States",609,<0.1%
"Department of Materials Science and Engineering, University of Florida, Gainesville, FL 32611, United States",597,<0.1%
"Center for High Technology Materials, University of New Mexico, Albuquerque, NM 87106, 1313 Goddard SE, United States",580,<0.1%
"California Institute of Technology, Pasadena, CA 91125, United States",572,<0.1%
"Center for Nanophase Materials Sciences, Oak Ridge National Laboratory, Oak Ridge, 37831, TN, United States",568,<0.1%
