ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00003815,LETTER DATED 10/14/85,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[9CC750567519C54BB6C1EF11D289A1C1]]'>GR00625</a> ,Whitaker Foundation,Whitaker Foundation,,,Towe,Bruce,B1314,Chemical Engineering,Chemical Engineering,A POTENTIALLY IMPLATABLE MICROELECTRONIC GLUCOSE SENSOR,Coley-Bing,"$150,000","$150,000",11/1/1985,10/31/1988,10/31/1988,,Closed,"$150,000","$150,000","$150,000"
AWD00006264,MQES63896,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[7AADE8BE05906740B0B8B5A8D9A274C5]]'>GR13559</a> ,Intel Corporation,Intel Corporation,,,TBD12,PD/PI,B1317,IAFSE: Engineering Research Center,IAFSE: Engineering Research Center,MICROELECTRONIC TECHNOLOGIES COURSE WITH TECHNOLOGY TRANSFER,Seaton,"$25,000","$25,000",8/16/1991,8/15/1992,8/15/1992,Team 3,Closed,"$25,000","$25,000","$25,000"
AWD00017973,0638414,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[B577DF701C365348B589DB75C1031740]]'>GR07777</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Goodnick,Stephen,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Nano and Giga Challenges in Microelectronics Conference,Stewart,"$7,000","$7,000",10/1/2006,10/31/2007,10/31/2007,Team 1,Closed,"$7,000","$7,000","$7,000"
AWD00019135,GG10919127972,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[3689EE34585B2849B835E6227F13424B]]'>GR27322</a> ,University of Virginia,University of Virginia,DOD: Navy,DOD: Navy,Phelan,Patrick,B1315,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,"System-Level Approach for Multi-Phase, Nanotechnology-Enhanced Cooling of High-Power Microelectronic Systems",Coley-Bing,"$499,999","$499,999",3/8/2007,9/30/2012,9/30/2012,Team 1,Closed,"$499,999","$499,999","$499,999"
AWD00019707,P116M070015,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[DEC7C83F080E24499EFC345386DFA7EF]]'>GR07840</a> ,US Department of Education (DOEd),US Department of Education (DOEd),,,Phillips,Stephen,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,U.S.-Brazil Higher Education Consortium Program in Microelectronics,Stewart,"$200,000","$200,000",10/1/2007,6/30/2012,6/30/2012,Team 1,Closed,"$200,000","$200,000","$200,000"
AWD00035082,13000844-023,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[12620402CD2711EE7184D82396565000]]'>GR45530</a> ,Purdue University,Purdue University,DOD-ARMY-AMC: Army Contracting Command (ACC),DOD-ARMY-AMC: Army Contracting Command (ACC),Barnaby,Hugh,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Cornerstone OTA - Microelectronics Workforce Consortium Plan of Action and Milestones,Stewart,"$661,000","$661,000",12/20/2019,10/20/2024,10/20/2024,Team 1,Expired,"$661,000","$661,000","$661,000"
AWD00035543,9457,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F7C73CC2BB2A674AA2F4606D8197A255]]'>GR39013</a> ,CFD Research Corporation,CFD Research Corporation,US Department of Defense (DOD),US Department of Defense (DOD),Smith,David,B1717,CLAS-NS: Physics,CLAS-NS: Physics,Investigation of Radiation Effects in Advanced Microelectronic Devices for developing predictive models of degradation  ,Taylor,"$80,000","$80,000",9/8/2020,3/18/2021,3/18/2021,Team 3,Expired,"$80,000","$80,000","$80,000"
AWD00037037,0000001636,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[86333FA1A03711EC4A84D82396565000]]'>GR41506</a> ,CFD Research Corporation,CFD Research Corporation,US Department of Defense (DOD),US Department of Defense (DOD),Smith,David,B1717,CLAS-NS: Physics,CLAS-NS: Physics,Investigation of Radiation Effects in Advanced Microelectronic Devices for Developing Predictive Models of Degradation  ,Taylor,"$320,000","$320,000",2/1/2022,6/15/2024,6/15/2024,Team 3,Expired,"$320,000","$320,000","$320,000"
AWD00038134,S003199-NSF,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[5E9D46A28DDE11ED5B84D82396565000]]'>GR43298</a> ,Pennsylvania State University,Pennsylvania State University,National Science Foundation (NSF),National Science Foundation (NSF),Thornton,Trevor,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Microelectronics & Nanomanufacturing Veteran's Consortium (MNVC),Stewart,"$353,264","$366,264",9/1/2022,8/31/2026,8/31/2026,Team 1,Active,"$353,264","$353,264","$366,264"
AWD00038657,13001218-078,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[673DB877E2E511EE7284D82396565000]]'>GR45656</a> ,Purdue University,Purdue University,DOD-ARMY-AMC: Army Contracting Command (ACC),DOD-ARMY-AMC: Army Contracting Command (ACC),Bhate,Dhruv,B1349,"Manufacturing Systems and Networks, School of (IAFSE-MSN)","Manufacturing Systems and Networks, School of (IAFSE-MSN)",Cornerstone OTA - Microelectronics Workforce Consortium Plan of Action and Milestones,Taylor,"$376,363","$525,000",4/1/2023,3/31/2026,3/31/2027,Team 3,Active,"$376,363","$376,363","$525,000"
