ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00003391,DAAGZ984K0146,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[49EC8405EEC23B49B8BFC6D016567CC4]]'>GR07309</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,SEMICONDUCTOR,Stewart,$0,$0,9/1/1984,8/31/1987,8/31/1987,Team 1,Closed,$0,$0,$0
AWD00003465,CK 990303,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[686781291A552F43919D4559E1C73889]]'>GR09150</a> ,Shell Oil Company Foundation,Shell Oil Company Foundation,,,Sirkis,Murray,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,MICROWAVE HEATING OF LOW-RESISTIVITY SEMICONDUCTOR WAFERS,Stewart,"$50,000","$50,000",11/27/1984,12/31/1989,12/31/1989,Team 1,Closed,"$50,000","$50,000","$50,000"
AWD00004074,"Y6E099, CO# 002",<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[64F2BBA8E41CBD4C87A808A551043D0A]]'>GR08997</a> ,McDonnell Douglas,McDonnell Douglas,,,Maracas,George,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,DEFECT ANALYSIS OF SEMICONDUCTOR LASERS,Stewart,"$92,999","$92,999",8/7/1986,5/15/1990,5/15/1990,Team 1,Closed,"$92,999","$92,999","$92,999"
AWD00004479,SV302360-03,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[529EDFFAFEFF3147943E1F9544E9FA9E]]'>GR09029</a> ,Northern Telecommunications Inc.,Northern Telecommunications Inc.,,,Maracas,George,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,III-V SEMICONDUCTORS INTEGRATED OPTOELECTRONIC WAVEGUIDE DEV,Stewart,"$34,000","$34,000",9/1/1987,11/15/1990,11/15/1990,Team 1,Closed,"$34,000","$34,000","$34,000"
AWD00004562,N0001488J1004,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[1088745857D27F4D9E91963395CD9A13]]'>GR07323</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,FEMTOSECOND PHYSICS IN SEMICONDUCTORS,Stewart,"$10,000","$10,000",11/1/1987,7/31/1988,7/31/1988,Team 1,Closed,"$10,000","$10,000","$10,000"
AWD00004658,DMR8718228,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[7F964BF76D7E1A46A5B06965A80AF408]]'>GR01680</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Tsen,Kong-Thon,B1717,CLAS-NS: Physics,CLAS-NS: Physics,"OPTICAL STDS OF SEMICONDUCTORS, SEMICDTORS MULTIPLE QUANTUM",Taylor,"$79,600","$79,600",3/1/1988,8/31/1991,8/31/1991,Team 3,Closed,"$79,600","$79,600","$79,600"
AWD00004706,DAAL0388K0055-P00003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[817D867B29031C458946642D6DE7D8F0]]'>GR07327</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,QUANTUM TRANSPORT IN SEMICONDUCTOR DEVICES,Stewart,"$569,688","$569,688",5/15/1988,8/15/1991,8/15/1991,Team 1,Closed,"$569,688","$569,688","$569,688"
AWD00004727,N0001488J1176,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[19F8574C2EFBD2429C9505E69C979C90]]'>GR07412</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,6TH HOT CARRIERS IN SEMICONDUCTORS CONFERENCE,Stewart,"$25,000","$25,000",6/1/1988,5/31/1990,5/31/1990,Team 1,Closed,"$25,000","$25,000","$25,000"
AWD00004812,DMS8801153-01,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E204D618AF019345BEC7B4701A5AD21E]]'>GR23550</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Ringhofer,Christian,B1716001,"CLAS-NS: Mathematical and Statistical Sciences, School of (SoMSS)","CLAS-NS: Mathematical and Statistical Sciences, School of (SoMSS)",MATHEMATICAL MODELS FOR SUBMICRON SEMICONDUCTOR,Taylor,"$59,588","$59,588",7/15/1988,6/30/1991,6/30/1991,Team 3,Closed,"$59,588","$59,588","$59,588"
AWD00004859,DMR8718101,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[5D51A066724F744B9541C570927259EF]]'>GR01674</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Tsong,Ignatius,B1717,CLAS-NS: Physics,CLAS-NS: Physics,EXPR & THEOR STDS OF ULTRATHIN OVERLAYERS ON SEMICONDUCTOR,Taylor,"$287,500","$287,500",8/16/1988,7/31/1992,7/31/1992,Team 3,Closed,"$287,500","$287,500","$287,500"
